ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Mode_of_Shipment_encoded,Customer_rating_category,Prior_purchases_category,Gender_encoded,Interaction_CustomerRating_Discount,Interaction_CustomerCalls_Rating,Shipping_speed,Total_interactions,Expected_delivery_time,CustomerCare_vs_ExpectedTime,ProductImportance_avg_delivery,ShippingMode_avg_delivery,Interaction_Weight_Discount,Customer_rating_and_delivery_time,Product_importance_and_delivery_time,High_product_importance_and_high_rating,Weight_category,Discount_category,Product_Value,Customer_Loyalty,Customer_Satisfaction_Score,Delivery_Time_per_Weight
1,D,Flight,4,2,177,3,low,F,44,1233,1,2,Low,Low,0,88,8,308.25,7,2,2,0.5927883707759108,0.6015756893640968,54252,2,low,0,Light,High,218241,Regular,1.5,616.5
2,F,Flight,4,5,216,2,low,M,59,3088,1,2,High,Very Low,1,295,20,772.0,6,2,2,0.5927883707759108,0.6015756893640968,182192,5,low,0,Medium,High,667008,New,3.0,1544.0
3,A,Flight,2,2,183,4,low,M,48,3374,1,2,Low,Low,1,96,4,1687.0,6,2,0,0.5927883707759108,0.6015756893640968,161952,2,low,0,Medium,High,617442,Regular,1.5,1687.0
4,B,Flight,3,3,176,4,medium,M,10,1177,1,2,Average,Low,1,30,9,392.3333333333333,7,2,1,0.5904501472444258,0.6015756893640968,11770,3,medium,0,Light,Low,207152,Regular,2.0,588.5
5,C,Flight,2,2,184,3,medium,F,46,2484,1,2,Low,Low,0,92,4,1242.0,5,2,0,0.5904501472444258,0.6015756893640968,114264,2,medium,0,Medium,High,457056,Regular,1.5,1242.0
6,F,Flight,3,1,162,3,medium,F,12,1417,1,2,VeryLow,Low,0,12,3,472.3333333333333,6,2,1,0.5904501472444258,0.6015756893640968,17004,1,medium,0,Light,Medium,229554,Regular,1.0,708.5
7,D,Flight,3,4,250,3,low,F,3,2371,1,2,Standard,Low,0,12,12,790.3333333333334,6,2,1,0.5927883707759108,0.6015756893640968,7113,4,low,0,Medium,Low,592750,Regular,2.5,1185.5
8,F,Flight,4,1,233,2,low,F,48,2804,1,2,VeryLow,Very Low,0,48,4,701.0,6,2,2,0.5927883707759108,0.6015756893640968,134592,1,low,0,Medium,High,653332,New,1.0,1402.0
9,A,Flight,3,4,150,3,low,F,11,1861,1,2,Standard,Low,0,44,12,620.3333333333334,6,2,1,0.5927883707759108,0.6015756893640968,20471,4,low,0,Light,Medium,279150,Regular,2.5,930.5
10,B,Flight,3,2,164,3,medium,F,29,1187,1,2,Low,Low,0,58,6,395.6666666666667,6,2,1,0.5904501472444258,0.6015756893640968,34423,2,medium,0,Light,Medium,194668,Regular,1.5,593.5
11,C,Flight,3,4,189,2,medium,M,12,2888,1,2,Standard,Very Low,1,48,12,962.6666666666666,5,2,1,0.5904501472444258,0.6015756893640968,34656,4,medium,0,Medium,Medium,545832,New,2.5,1444.0
12,F,Flight,4,5,232,3,medium,F,32,3253,1,2,High,Low,0,160,20,813.25,7,2,2,0.5904501472444258,0.6015756893640968,104096,5,medium,0,Medium,High,754696,Regular,3.0,1626.5
13,D,Flight,3,5,198,3,medium,F,1,3667,1,2,High,Low,0,5,15,1222.3333333333333,6,2,1,0.5904501472444258,0.6015756893640968,3667,5,medium,0,Medium,Low,726066,Regular,3.0,1833.5
